             Yapache   rt    cpu   mem  swap   sysc swtch   sda     / /boot /home      ens9      
Time         req/s    msec %util %util  %pgs   /pkt  /pkt %busy %full %full %full in-kbps outkbps
07/17-15:11      -       -  41.9  30.5   0.0    0.0  70.3   2.6  12.4  18.6   0.7 842410.5 54715.2
07/17-15:12      -       -  40.5  33.2   0.0    0.0  73.8   2.2  12.4  18.6   0.7 819486.9 52879.7
07/17-15:13      -       -  40.3  36.5   0.0    0.0  73.7   4.9  12.4  18.6   0.7 836508.3 54309.5
07/17-15:14      -       -  39.9  37.1   0.0    0.0  72.2   2.0  12.4  18.6   0.7 832987.6 56111.9
07/17-15:15      -       -  39.5  40.2   0.0    0.0  74.4   2.0  12.4  18.6   0.7 840603.8 54044.2
07/17-15:16      -       -  39.8  43.2   0.0    0.0  74.9   2.0  12.4  18.6   0.7 835891.5 53973.4
07/17-15:17      -       -  40.1  46.2   0.0    0.0  73.2   2.0  12.4  18.6   0.7 839962.7 54080.8
07/17-15:18      -       -  40.4  46.4   0.0    0.0  72.7   5.0  12.4  18.6   0.7 842873.2 54968.5
07/17-15:19      -       -  40.8  49.2   0.0    0.0  73.4   1.9  12.4  18.6   0.7 839213.3 53087.0
             Yapache   rt    cpu   mem  swap   sysc swtch   sda     / /boot /home      ens9      
Time         req/s    msec %util %util  %pgs   /pkt  /pkt %busy %full %full %full in-kbps outkbps
07/17-15:20      -       -  39.0  52.1   0.0    0.0  73.5   2.2  12.4  18.6   0.7 841470.2 52229.4
07/17-15:21      -       -  40.9  52.6   0.0    0.0  72.1   1.7  12.4  18.6   0.7 830454.2 54156.9
07/17-15:22      -       -  40.4  55.4   0.0    0.0  74.5   1.6  12.4  18.6   0.7 839027.6 53324.9
07/17-15:23      -       -  41.1  55.7   0.0    0.0  72.2   5.3  12.4  18.6   0.7 841508.6 53830.3
07/17-15:24      -       -  39.9  58.0   0.0    0.0  74.0   1.7  12.4  18.6   0.7 842292.2 54376.1
07/17-15:25      -       -  40.7  58.6   0.0    0.0  72.3   2.5  12.4  18.6   0.7 845898.7 55040.8
07/17-15:26      -       -  40.9  61.4   0.0    0.0  72.7   2.0  12.4  18.6   0.7 838861.7 53850.8
07/17-15:27      -       -  40.7  62.1   0.0    0.0  72.3   1.5  12.4  18.6   0.7 843544.0 54491.0
07/17-15:28      -       -  39.8  64.6   0.0    0.0  72.4   5.3  12.4  18.6   0.7 842286.4 54575.3
07/17-15:29      -       -  40.6  64.8   0.0    0.0  72.9   1.8  12.4  18.6   0.7 841725.7 54608.5
07/17-15:30      -       -  40.5  67.5   0.0    0.0  74.2   1.7  12.4  18.6   0.7 841872.8 54066.8
07/17-15:31      -       -  40.5  67.7   0.0    0.0  73.1   3.1  12.4  18.6   0.7 840258.4 54796.5
07/17-15:32      -       -  40.4  67.7   0.0    0.0  73.9   2.6  12.4  18.6   0.7 841984.2 54350.6
07/17-15:33      -       -  40.2  67.7   0.0    0.0  73.8   1.9  12.4  18.6   0.7 844342.9 54820.3
07/17-15:34      -       -  40.0  67.5   0.0    0.0  73.8   5.1  12.4  18.6   0.7 840933.4 54464.7
07/17-15:35      -       -  10.0  67.6   0.0    0.0  91.2   2.3  12.4  18.6   0.7 198247.1 12429.0
07/17-15:36      -       -   2.7  67.6   0.0    0.0 4484.4   2.1  12.4  18.6   0.7    71.3    87.1
07/17-15:37      -       -   1.0   2.5   0.0    0.0 1395.6   1.5  12.4  18.6   0.7    28.4    45.8
07/17-15:38      -       -   0.2   2.5   0.0    0.0 101.2   1.7  12.4  18.6   0.7     7.6    16.4
07/17-15:39      -       -  21.1   7.2   0.0    0.0  39.9   5.0  12.4  18.6   0.7 467807.6 48658.8
07/17-15:40      -       -  43.2  14.1   0.0    0.0  66.4   2.2  12.4  18.6   0.7 940728.9 56517.4
07/17-15:41      -       -  42.1  17.4   0.0    0.0  73.9   1.8  12.4  18.6   0.7 962931.2 52282.0
07/17-15:42      -       -  42.1  21.2   0.0    0.0  75.0   1.6  12.4  18.6   0.7 953741.5 51870.9
07/17-15:43      -       -  42.1  25.2   0.0    0.0  73.6   1.7  12.4  18.6   0.7 957526.0 52817.3
07/17-15:44      -       -  42.0  27.9   0.0    0.0  74.1   5.4  12.4  18.6   0.7 931621.2 51467.6
07/17-15:45      -       -  42.3  30.9   0.0    0.0  73.6   2.3  12.4  18.6   0.7 960190.2 52551.6
07/17-15:46      -       -  41.9  35.8   0.0    0.0  74.2   2.0  12.4  18.6   0.7 953780.9 51661.4
07/17-15:47      -       -  41.7  38.8   0.0    0.0  73.7   2.1  12.4  18.6   0.7 954226.2 52544.4
07/17-15:48      -       -  41.4  39.3   0.0    0.0  75.0   1.6  12.4  18.6   0.7 956257.0 52348.6
07/17-15:49      -       -  42.3  43.0   0.0    0.0  76.4   1.9  12.4  18.6   0.7 952705.7 50724.3
07/17-15:50      -       -  41.6  46.0   0.0    0.0  75.9   6.1  12.4  18.6   0.7 969673.1 51420.9
07/17-15:51      -       -  41.9  49.1   0.0    0.0  75.9   2.3  12.4  18.6   0.7 965790.8 51729.6
07/17-15:52      -       -  41.4  49.5   0.0    0.0  74.5   3.2  12.4  18.6   0.7 974517.1 52705.8
07/17-15:53      -       -  41.2  52.7   0.0    0.0  76.6   2.8  12.4  18.6   0.7 960436.0 49796.1
07/17-15:54      -       -  41.7  55.8   0.0    0.0  76.7   2.9  12.4  18.6   0.7 967294.4 50948.7
07/17-15:55      -       -  41.6  56.3   0.0    0.0  75.6   6.4  12.4  18.6   0.7 968278.7 51753.8
07/17-15:56      -       -  41.2  59.1   0.0    0.0  76.6   3.3  12.4  18.6   0.7 969884.5 51287.4
07/17-15:57      -       -  41.3  61.7   0.0    0.0  76.9   2.7  12.4  18.6   0.7 955076.2 50187.4
07/17-15:58      -       -  41.6  63.2   0.0    0.0  76.9   1.5  12.4  18.6   0.7 965830.9 50526.8
07/17-15:59      -       -  41.1  65.9   0.0    0.0  76.8   1.5  12.4  18.6   0.7 969789.2 51458.9
             Yapache   rt    cpu   mem  swap   sysc swtch   sda     / /boot /home      ens9      
Time         req/s    msec %util %util  %pgs   /pkt  /pkt %busy %full %full %full in-kbps outkbps
07/17-16:00      -       -  41.4  66.2   0.0    0.0  75.3   6.0  12.4  18.6   0.7 969244.8 52115.9
07/17-16:01      -       -  40.7  68.6   0.0    0.0  79.8   2.0  12.4  18.6   0.7 966561.2 49345.4
07/17-16:02      -       -  41.7  69.1   0.0    0.0  78.2   2.0  12.4  18.6   0.7 970427.1 49873.8
07/17-16:03      -       -  41.2  69.0   0.0    0.0  75.6   2.1  12.4  18.6   0.7 972926.4 52241.1
07/17-16:04      -       -  41.4  69.6   0.0    0.0  75.9   2.0  12.4  18.6   0.7 955038.9 51125.7
07/17-16:05      -       -  41.4  69.3   0.0    0.0  75.5   2.2  12.4  18.6   0.7 973484.2 51891.3
07/17-16:06      -       -  41.0  69.6   0.0    0.0  79.8   5.6  12.4  18.6   0.7 956612.3 49550.1
07/17-16:07      -       -  40.4  69.4   0.0    0.0  76.1   1.5  12.4  18.6   0.7 973928.3 51291.5
07/17-16:08      -       -  40.8  69.2   0.0    0.0  78.9   1.7  12.4  18.6   0.7 967021.9 50049.2
07/17-16:09      -       -  16.3  69.3   0.0    0.0  83.8   2.0  12.4  18.6   0.7 398188.9 21129.4
07/17-16:10      -       -   2.8  69.3   0.0    0.0 4475.2   2.3  12.4  18.6   0.7    71.4    85.9
07/17-16:11      -       -   1.8   2.5   0.0    0.0 1573.5   5.0  12.4  18.6   0.7    50.3    64.6
07/17-16:12      -       -   0.2   2.5   0.0    0.0  58.4   1.6  12.4  18.6   0.7  2288.6    26.4
07/17-16:13      -       -  28.0   8.9   0.0    0.0  42.5   2.3  12.4  18.6   0.7 658123.2 56472.2
07/17-16:14      -       -  43.8  14.4   0.0    0.0  77.5   1.8  12.4  18.6   0.7 1076967.9 48728.0
07/17-16:15      -       -  42.8  19.0   0.0    0.0  80.8   2.0  12.4  18.6   0.7 1066304.2 47060.3
07/17-16:16      -       -  43.2  22.8   0.0    0.0  83.5   1.9  12.4  18.6   0.7 1076327.9 45887.1
07/17-16:17      -       -  43.4  27.0   0.0    0.0  80.4   5.3  12.4  18.6   0.7 1070187.4 48186.3
07/17-16:18      -       -  42.9  29.4   0.0    0.0  82.3   1.9  12.4  18.6   0.7 1048620.0 46495.6
07/17-16:19      -       -  43.4  35.0   0.0    0.0  83.2   3.2  12.4  18.6   0.7 1079099.4 46485.1
07/17-16:20      -       -  42.8  38.1   0.0    0.0  80.6   2.3  12.4  18.6   0.7 1076184.2 48553.8
07/17-16:21      -       -  43.2  41.4   0.0    0.0  81.0   2.2  12.4  18.6   0.7 1074689.1 48418.6
07/17-16:22      -       -  43.3  45.1   0.0    0.0  79.5   4.9  12.4  18.6   0.7 1070068.2 48921.3
07/17-16:23      -       -  43.1  45.8   0.0    0.0  82.1   1.7  12.4  18.6   0.7 1082854.8 47884.3
07/17-16:24      -       -  42.6  49.6   0.0    0.0  87.1   1.9  12.4  18.6   0.7 1089310.1 44616.9
07/17-16:25      -       -  42.7  52.7   0.0    0.0  85.4   1.9  12.4  18.6   0.7 1089606.3 46471.3
07/17-16:26      -       -  43.3  57.2   0.0    0.0  85.6   1.7  12.4  18.6   0.7 1090993.1 45887.1
07/17-16:27      -       -  43.3  57.8   0.0    0.0  84.7   5.0  12.4  18.6   0.7 1090684.4 46441.2
07/17-16:28      -       -  42.6  61.8   0.0    0.0  86.8   2.3  12.4  18.6   0.7 1069575.2 45038.1
07/17-16:29      -       -  43.1  66.4   0.0    0.0  87.1   2.0  12.4  18.6   0.7 1088505.0 44694.8
07/17-16:30      -       -  42.9  66.8   0.0    0.0  87.5   2.1  12.4  18.6   0.7 1083832.2 45325.5
07/17-16:31      -       -  43.0  70.6   0.0    0.0  87.9   1.6  12.4  18.6   0.7 1088993.5 45377.1
07/17-16:32      -       -  43.0  70.8   0.0    0.0  85.0   2.0  12.4  18.6   0.7 1091794.8 46769.3
07/17-16:33      -       -  43.6  73.9   0.0    0.0  87.0   5.0  12.4  18.6   0.7 1090337.0 45310.2
07/17-16:34      -       -  43.7  74.9   0.0    0.0  84.7   2.3  12.4  18.6   0.7 1090207.4 46439.9
07/17-16:35      -       -  43.4  77.7   0.0    0.0  85.2   2.2  12.4  18.6   0.7 1094720.3 46633.1
07/17-16:36      -       -  43.9  78.0   0.0    0.0  88.3   2.3  12.4  18.6   0.7 1085477.5 44259.8
07/17-16:37      -       -  43.1  79.6   0.0    0.0  87.3   2.8  12.4  18.6   0.7 1082218.0 45052.6
07/17-16:38      -       -  43.8  79.7   0.0    0.0  88.1   5.5  12.4  18.6   0.7 1087333.7 44633.8
07/17-16:39      -       -  42.4  79.6   0.0    0.0  88.5   3.4  12.4  18.6   0.7 1090016.1 45275.4
             Yapache   rt    cpu   mem  swap   sysc swtch   sda     / /boot /home      ens9      
Time         req/s    msec %util %util  %pgs   /pkt  /pkt %busy %full %full %full in-kbps outkbps
07/17-16:40      -       -  43.3  80.1   0.0    0.0  86.7   3.5  12.4  18.6   0.7 1092188.9 45207.8
07/17-16:41      -       -  43.2  79.4   0.0    0.0  85.5   2.7  12.4  18.6   0.7 1094003.6 46053.3
07/17-16:42      -       -  43.0  79.8   0.0    0.0  85.4   3.0  12.4  18.6   0.7 1068443.4 45324.7
07/17-16:43      -       -  11.1  79.8   0.0    0.0 104.7   2.6  12.4  18.6   0.7 276881.9 11425.8
07/17-16:44      -       -   2.7  79.8   0.0    0.0 4571.9   6.4  12.4  18.6   0.7    68.0    85.0
07/17-16:45      -       -   1.0   2.4   0.0    0.0 1354.6   3.1  12.4  18.6   0.7    28.0    47.5
